PMID,PMCID,DOI,Title,Authors,Year,Journal,Volume,Issue,Pages,Abstract
23873214,PMC3752380,10.1038/nchembio.1298,A switch III motif relays signaling between a B12 enzyme and its G-protein chaperone.,"Lofgren M, Padovani D, Koutmos M, Banerjee R",2013,Nat Chem Biol,9,9,535-9,"Fidelity during cofactor assembly is essential for the proper functioning of metalloenzymes and is ensured by specific chaperones. MeaB, a G-protein chaperone for the coenzyme B12-dependent radical enzyme methylmalonyl-CoA mutase (MCM), uses the energy of GTP binding, hydrolysis or both to regulate cofactor loading into MCM, protect MCM from inactivation and rescue MCM that is inactivated during turnover. Typically, G proteins signal to client proteins using the conformationally mobile switch I and II loops. Crystallographic snapshots of MeaB reported herein reveal a new switch III element that has substantial conformational plasticity. Using alanine-scanning mutagenesis, we demonstrate that the switch III motif is critical for bidirectional signal transmission of the GTPase-activating protein activity of MCM and the chaperone functions of MeaB in the MeaB-MCM complex. Mutations in the switch III loop identified in patients corrupt this interprotein communication and lead to methylmalonic aciduria, an inborn error of metabolism."
24009510,PMC3757040,10.1371/journal.ppat.1003589,Signal peptidase complex subunit 1 participates in the assembly of hepatitis C virus through an interaction with E2 and NS2.,"Suzuki R, Matsuda M, Watashi K, Aizaki H, Matsuura Y, Wakita T, Suzuki T",2013,PLoS Pathog,9,8,e1003589,"Hepatitis C virus (HCV) nonstructural protein 2 (NS2) is a hydrophobic, transmembrane protein that is required not only for NS2-NS3 cleavage, but also for infectious virus production. To identify cellular factors that interact with NS2 and are important for HCV propagation, we screened a human liver cDNA library by split-ubiquitin membrane yeast two-hybrid assay using full-length NS2 as a bait, and identified signal peptidase complex subunit 1 (SPCS1), which is a component of the microsomal signal peptidase complex. Silencing of endogenous SPCS1 resulted in markedly reduced production of infectious HCV, whereas neither processing of structural proteins, cell entry, RNA replication, nor release of virus from the cells was impaired. Propagation of Japanese encephalitis virus was not affected by knockdown of SPCS1, suggesting that SPCS1 does not widely modulate the viral lifecycles of the Flaviviridae family. SPCS1 was found to interact with both NS2 and E2. A complex of NS2, E2, and SPCS1 was formed in cells as demonstrated by co-immunoprecipitation assays. Knockdown of SPCS1 impaired interaction of NS2 with E2. Our findings suggest that SPCS1 plays a key role in the formation of the membrane-associated NS2-E2 complex via its interaction with NS2 and E2, which leads to a coordinating interaction between the structural and non-structural proteins and facilitates the early step of assembly of infectious particles."
25093327,PMC4122339,10.1371/journal.pbio.1001921,Carbonic anhydrase generates CO2 and H+ that drive spider silk formation via opposite effects on the terminal domains.,"Andersson M, Chen G, Otikovs M, Landreh M, Nordling K, Kronqvist N, Westermark P, Jörnvall H, Knight S, Ridderstråle Y, Holm L, Meng Q, Jaudzems K, Chesler M, Johansson J, Rising A",2014,PLoS Biol,12,8,e1001921,"Spider silk fibers are produced from soluble proteins (spidroins) under ambient conditions in a complex but poorly understood process. Spidroins are highly repetitive in sequence but capped by nonrepetitive N- and C-terminal domains (NT and CT) that are suggested to regulate fiber conversion in similar manners. By using ion selective microelectrodes we found that the pH gradient in the silk gland is much broader than previously known. Surprisingly, the terminal domains respond in opposite ways when pH is decreased from 7 to 5: Urea denaturation and temperature stability assays show that NT dimers get significantly stabilized and then lock the spidroins into multimers, whereas CT on the other hand is destabilized and unfolds into ThT-positive β-sheet amyloid fibrils, which can trigger fiber formation. There is a high carbon dioxide pressure (pCO2) in distal parts of the gland, and a CO2 analogue interacts with buried regions in CT as determined by nuclear magnetic resonance (NMR) spectroscopy. Activity staining of histological sections and inhibition experiments reveal that the pH gradient is created by carbonic anhydrase. Carbonic anhydrase activity emerges in the same region of the gland as the opposite effects on NT and CT stability occur. These synchronous events suggest a novel CO2 and proton-dependent lock and trigger mechanism of spider silk formation."
29568061,PMC5864832,10.1038/s41467-018-03523-2,An AP-MS- and BioID-compatible MAC-tag enables comprehensive mapping of protein interactions and subcellular localizations.,"Liu X, Salokas K, Tamene F, Jiu Y, Weldatsadik RG, Öhman T, Varjosalo M",2018,Nat Commun,9,1,1188,"Protein-protein interactions govern almost all cellular functions. These complex networks of stable and transient associations can be mapped by affinity purification mass spectrometry (AP-MS) and complementary proximity-based labeling methods such as BioID. To exploit the advantages of both strategies, we here design and optimize an integrated approach combining AP-MS and BioID in a single construct, which we term MAC-tag. We systematically apply the MAC-tag approach to 18 subcellular and 3 sub-organelle localization markers, generating a molecular context database, which can be used to define a protein's molecular location. In addition, we show that combining the AP-MS and BioID results makes it possible to obtain interaction distances within a protein complex. Taken together, our integrated strategy enables the comprehensive mapping of the physical and functional interactions of proteins, defining their molecular context and improving our understanding of the cellular interactome."
29562233,PMC5886804,10.1038/nature26139,Structural insights into the voltage and phospholipid activation of the mammalian TPC1 channel.,"She J, Guo J, Chen Q, Zeng W, Jiang Y, Bai XC",2018,Nature,556,7699,130-134,"The organellar two-pore channel (TPC) functions as a homodimer, in which each subunit contains two homologous Shaker-like six-transmembrane (6-TM)-domain repeats. TPCs belong to the voltage-gated ion channel superfamily and are ubiquitously expressed in animals and plants. Mammalian TPC1 and TPC2 are localized at the endolysosomal membrane, and have critical roles in regulating the physiological functions of these acidic organelles. Here we present electron cryo-microscopy structures of mouse TPC1 (MmTPC1)-a voltage-dependent, phosphatidylinositol 3,5-bisphosphate (PtdIns(3,5)P<sub>2</sub>)-activated Na+-selective channel-in both the apo closed state and ligand-bound open state. Combined with functional analysis, these structures provide comprehensive structural insights into the selectivity and gating mechanisms of mammalian TPC channels. The channel has a coin-slot-shaped ion pathway in the filter that defines the selectivity of mammalian TPCs. Only the voltage-sensing domain from the second 6-TM domain confers voltage dependence on MmTPC1. Endolysosome-specific PtdIns(3,5)P<sub>2</sub> binds to the first 6-TM domain and activates the channel under conditions of depolarizing membrane potential. Structural comparisons between the apo and PtdIns(3,5)P<sub>2</sub>-bound structures show the interplay between voltage and ligand in channel activation. These MmTPC1 structures reveal lipid binding and regulation in a 6-TM voltage-gated channel, which is of interest in light of the emerging recognition of the importance of phosphoinositide regulation of ion channels."
27875551,PMC5119734,10.1371/journal.pone.0165917,"Crystal Structures of Group B Streptococcus Glyceraldehyde-3-Phosphate Dehydrogenase: Apo-Form, Binary and Ternary Complexes.","Schormann N, Ayres CA, Fry A, Green TJ, Banerjee S, Ulett GC, Chattopadhyay D",2016,PLoS One,11,11,e0165917,"Glyceraldehyde 3-phosphate dehydrogenase or GAPDH is an evolutionarily conserved glycolytic enzyme. It catalyzes the two step oxidative phosphorylation of D-glyceraldehyde 3-phosphate into 1,3-bisphosphoglycerate using inorganic phosphate and NAD+ as cofactor. GAPDH of Group B Streptococcus is a major virulence factor and a potential vaccine candidate. Moreover, since GAPDH activity is essential for bacterial growth it may serve as a possible drug target. Crystal structures of Group B Streptococcus GAPDH in the apo-form, two different binary complexes and the ternary complex are described here. The two binary complexes contained NAD+ bound to 2 (mixed-holo) or 4 (holo) subunits of the tetrameric protein. The structure of the mixed-holo complex reveals the effects of NAD+ binding on the conformation of the protein. In the ternary complex, the phosphate group of the substrate was bound to the new Pi site in all four subunits. Comparison with the structure of human GAPDH showed several differences near the adenosyl binding pocket in Group B Streptococcus GAPDH. The structures also reveal at least three surface-exposed areas that differ in amino acid sequence compared to the corresponding areas of human GAPDH."
31515270,PMC6827300,10.1074/jbc.RA119.010099,Molecular basis for the function of the αβ heterodimer of human NAD-dependent isocitrate dehydrogenase.,"Sun P, Ma T, Zhang T, Zhu H, Zhang J, Liu Y, Ding J",2019,J Biol Chem,294,44,16214-16227,"Mammalian mitochondrial NAD-dependent isocitrate dehydrogenase (NAD-IDH) catalyzes the decarboxylation of isocitrate into α-ketoglutarate in the tricarboxylic acid cycle. It exists as the α<sub>2</sub>βγ heterotetramer composed of the αβ and αγ heterodimers. Different from the αγ heterodimer that can be allosterically activated by CIT and ADP, the αβ heterodimer cannot be allosterically regulated by the activators; however, the molecular mechanism is unclear. We report here the crystal structures of the αβ heterodimer of human NAD-IDH with the α subunit in apo form and in Ca2+-bound, NAD-bound, and NADH-bound forms. Structural analyses and comparisons reveal that the αβ heterodimer has a similar yet more compact overall structure compared with the αγ heterodimer and contains a pseudo-allosteric site that is structurally different from the allosteric site. In particular, the β3-α3 and β12-α8 loops of the β subunit at the pseudo-allosteric site adopt significantly different conformations from those of the γ subunit at the allosteric site and hence impede the binding of the activators, explaining why the αβ heterodimer cannot be allosterically regulated by the activators. The structural data also show that NADH can compete with NAD to bind to the active site and inhibits the activity of the αβ heterodimer. These findings together with the biochemical data reveal the molecular basis for the function of the αβ heterodimer of human NAD-IDH."
33821277,PMC8020977,10.1101/2021.04.02.438274,Structure and dynamics of SARS-CoV-2 proofreading exoribonuclease ExoN.,"Moeller NH, Shi K, Demir Ö, Banerjee S, Yin L, Belica C, Durfee C, Amaro RE, Aihara H",2021,bioRxiv,,,,"High-fidelity replication of the large RNA genome of coronaviruses (CoVs) is mediated by a 3'-to-5' exoribonuclease (ExoN) in non-structural protein 14 (nsp14), which excises nucleotides including antiviral drugs mis-incorporated by the low-fidelity viral RNA-dependent RNA polymerase (RdRp) and has also been implicated in viral RNA recombination and resistance to innate immunity. Here we determined a 1.6-Å resolution crystal structure of SARS-CoV-2 ExoN in complex with its essential co-factor, nsp10. The structure shows a highly basic and concave surface flanking the active site, comprising several Lys residues of nsp14 and the N-terminal amino group of nsp10. Modeling suggests that this basic patch binds to the template strand of double-stranded RNA substrates to position the 3' end of the nascent strand in the ExoN active site, which is corroborated by mutational and computational analyses. Molecular dynamics simulations further show remarkable flexibility of multi-domain nsp14 and suggest that nsp10 stabilizes ExoN for substrate RNA-binding to support its exoribonuclease activity. Our high-resolution structure of the SARS-CoV-2 ExoN-nsp10 complex serves as a platform for future development of anti-coronaviral drugs or strategies to attenuate the viral virulence."
38328342,PMC10849108,10.2147/ITT.S439289,Identification of CXC Chemokine Receptor 2 (CXCR2) as a Novel Eosinophils-Independent Diagnostic Biomarker of Pediatric Eosinophilic Esophagitis by Integrated Bioinformatic and Machine-Learning Analysis.,"Wu J, Duan C, Han C, Hou X",2024,Immunotargets Ther,13,,55-74,"BACKGROUND: Eosinophilic esophagitis (EoE) is a complex allergic condition frequently accompanied by various atopic comorbidities in children, which significantly affects their life qualities. Therefore, this study aimed to evaluate pivotal molecular markers that may facilitate the diagnosis of EoE in pediatric patients.
METHODS: Three available EoE-associated gene expression datasets in children: GSE184182, GSE 197702, GSE55794, along with GSE173895 were downloaded from the GEO database. Differentially expressed genes (DEGs) identified by ""limma"" were intersected with key module genes identified by weighted gene co-expression network analysis (WGCNA), and the shared genes went through functional enrichment analysis. The protein-protein interaction (PPI) network and the machine learning algorithms: least absolute shrinkage and selection operator (LASSO), random forest (RF), and XGBoost were used to reveal candidate diagnostic markers for EoE. The receiver operating characteristic (ROC) curve showed the efficacy of differential diagnosis of this marker, along with online databases predicting its molecular regulatory network. Finally, we performed gene set enrichment analysis (GSEA) and assessed immune cell infiltration of EoE/control samples by using the CIBERSORT algorithm. The correlations between the key diagnostic biomarker and immune cells were also investigated.
RESULTS: The intersection of 936 DEGs and 1446 key module genes in EoE generated 567 genes, which were primarily enriched in immune regulation. Following the construction of the PPI network and filtration by machine learning, CXCR2 served as a potential diagnostic biomarker of pediatric EoE with a perfect diagnostic efficacy (AUC = ~1.00) in regional tissue/peripheral whole blood samples. Multiple infiltrated immune cells were observed to participate in disrupting the homeostasis of esophageal epithelium to varying degrees.
CONCLUSION: The immune-correlated CXCR2 gene was proved to be a promising diagnostic indicator for EoE, and dysregulated regulatory T cells (Tregs)/neutrophils might play a crucial role in the pathogenesis of EoE in children."
38133085,PMC10742362,10.1590/0103-6440202305452,Higher immunoexpression of CK14 from the Wnt-1/β-catenin pathway in the development of odontomas.,"França GM, Carlan LM, Pires HF, Oliveira CN, Santos PPA, Galvão HC",2023,Braz Dent J,34,6,110-120,"Tooth development depends on a series of reciprocal signaling interactions between the oral epithelium and ectomesenchyme. This study aimed to investigate the role of CK14, a protein involved in Wnt-1/β-catenin signaling, in odontogenesis and the development of odontomas. This cross-sectional, retrospective, immunohistochemical study analyzed 30 compound odontomas, 30 complex odontomas, and 17 tooth germs. Higher immunoexpression of CK14 was observed in odontogenic epithelial cells of tooth germs (p < 0.001) and odontogenic epithelial cells of odontomas (p < 0.001). There was higher immunoexpression of Wnt-1 and β-catenin proteins in epithelial cells of tooth germs (p = 0.002 and p < 0.001, respectively), as well as in the ectomesenchyme of odontomas (p = 0.003 and p < 0.001, respectively). β-Catenin was moderately and significantly correlated with CK14 in the membrane of reduced enamel epithelial cells in odontomas (p = 0.007). Higher immunoexpression of CK14 was observed in the odontogenic epithelium during the bud and cap stages and lower immunoexpression in the internal enamel epithelium during the bell stage. In odontomas, lower expression of Wnt-1/β-catenin and higher immunoexpression of CK14 were found in odontogenic epithelial cells, especially adjacent to the mineralized material resembling the tooth formed in these lesions."
37550455,PMC10432278,10.1038/s43587-023-00455-5,Multivariate genome-wide analysis of aging-related traits identifies novel loci and new drug targets for healthy aging.,"Rosoff DB, Mavromatis LA, Bell AS, Wagner J, Jung J, Marioni RE, Davey Smith G, Horvath S, Lohoff FW",2023,Nat Aging,3,8,1020-1035,"The concept of aging is complex, including many related phenotypes such as healthspan, lifespan, extreme longevity, frailty and epigenetic aging, suggesting shared biological underpinnings; however, aging-related endpoints have been primarily assessed individually. Using data from these traits and multivariate genome-wide association study methods, we modeled their underlying genetic factor ('mvAge'). mvAge (effective n = ~1.9 million participants of European ancestry) identified 52 independent variants in 38 genomic loci. Twenty variants were novel (not reported in input genome-wide association studies). Transcriptomic imputation identified age-relevant genes, including VEGFA and PHB1. Drug-target Mendelian randomization with metformin target genes showed a beneficial impact on mvAge (P value = 8.41 × 10-5). Similarly, genetically proxied thiazolidinediones (P value = 3.50 × 10-10), proprotein convertase subtilisin/kexin 9 inhibition (P value = 1.62 × 10-6), angiopoietin-like protein 4, beta blockers and calcium channel blockers also had beneficial Mendelian randomization estimates. Extending the drug-target Mendelian randomization framework to 3,947 protein-coding genes prioritized 122 targets. Together, these findings will inform future studies aimed at improving healthy aging."
